ID,English,Kashmiri
120,The murder of the King takes place in the first act of the play.,بادشاہ سُنٛد قتل چُھ ڈرٛامہ کِس گۄڈنِکِس حِصَس منٛز سپدان
121,Parliament has passed an act which makes such sports illegal.,پارلیمٮ۪نٛٹن چُھ اَکھ اٮ۪کٹ پاس کوٚرمُت یَتھ مُطٲبِق یِتھۍ کھیل غٲر قونونی چھِ
122,Many people talk but only a few act.,واریاہ لُکھ چھِ کَتھٕ کَران مگر عَمل چھِ سٮ۪ٹھا کم لُکھ کَران
123,She can act on the stage very well.,سۄ ہیٚکہِ سٹیجس پٮ۪ٹھ اصٕل اداکٲری کٔرِتھ
124,The manager was acting on behalf of the president.,مُنتظم اوس صدر سٕنٛدِ بدلہٕ کٲم کرنا۔
125,She is not good at acting.,تٔمِس چھےٚ نہٕ اصٕل اداکٲری تَگان کیٚنٛہ
126,Her action offended everyone.,تٔمۍ سٕنٛزِ حرکتہِ سۭتۍ گٔیہٕ سٲری بیزار
127,We can put the plan into action immediately.,أسۍ ہٮ۪کو منٛصوٗبہٕ فوری طور عملہِ منٛز أنِتھ
128,He is taking an active interest in the politics.,سُہ چُھ سِیاسَتس منٛز عملی تَوجہٕ دِوان
129,He is a sincere activist in the party.,سُہ چُُھ جمٲژ ہُنٛد اکھ خٲلِص کارکُن
130,The extra curricular activity has to be implemented soon.,غٲر نِصٲبی عمل چھےٚ جلدی لاگوٗ گَژھن واجیٚنۍ
131,Akber is a good actor.,اکبر چُھ اکھ اصٕل اداکار
132,The actual cost of ring was much higher than we had expected.,واجہِ ہُنٛد صٔحیٖح قۭمت اوس سانہِ وۄمید کھۄتہٕ زیادٕ
133,He is actually my relative.,سُہ چُھ بِزٲتی میٛون رِشتہٕ دار
134,We can add some more sugar to the curd.,أسۍ ہٮ۪کو زامہٕ دۄدَس بیٚیہِ تھوڑا کھنٛڈ رَلٲوِتھ
135,I do not want to add onto my worries now.,بہٕ چُھس نہٕ یَژھان وۄنۍ پنٕنۍ پَریشٲنی بڑاوٕنۍ
137,They will be useful addition to our company.,تِم آسن سانہِ کمپٔنی خٲطرٕ فٲیدٕ منٛد اِضافہٕ
138,This equipment is the latest addition to our office.,یہِ سامان چُھ سانہِ دفتَرُگ تازہٕ تٔریٖن ہُرٮ۪ر
140,There was an additional paper at the end of the seminar.,سیٚمِنار کِس اِختِتامس پٮ۪ٹھ اوس اکھ علاوٕ تصنیٖف
141,I need an additional information on this topic.,مےٚٚ چھےٚ یَتھ موضوٗعس پٮ۪ٹھ زیادٕ زانٛکٲری ہِنٛز ضٔروٗرت
142,Please send the books on my home address.,مہربٲنی کٔرِتھ سوٗزِو کِتابہٕ میٛٲنِس گرِ کِس پتہَس پٮ۪ٹھ
143,The presidential address was very inspiring.,صدٕر سُنٛد تقریٖر اوس مُتٲثِر کَرن وول
144,The parcel has been addressed incorrectly.,پارسَلس چُھ آمُت غلط پَتہہ لٮ۪کھنہٕ
145,The president is about to address the nation.,صدٕٕر چُھ قومس تقریٖر کَرن وول
146,Please address all suggestions to the chairman.,مہربٲنی کٔٔرِتھ کٔرۍوون چِیرمین تمام تجاویٖزَو سۭتۍ آگاہ
147,You must address everyone in the meeting confidently.,تۄہہِ پَزٮ۪و اِجلاسس منٛز ہر أکِس سۭتۍ اعتِماد سان مُخٲطب گژُھن
148,We need to address ourselves to the main problems of the group.,اسہِ پَزِ گرٛوٚپ کٮ۪ن اہم مثٲیلن سۭتۍ وٲقِف سپدُن
149,Drink adequate water and food to be energetic.,اسہِ پَزِِ ہٮ۪کَتھ انٛنہٕ خٲطرٕ سٮ۪ٹھا ترٛیش تہٕ کھٮ۪ن کھیوٚن
150,The speech was not adequate to convince the gathering.,تقریٖر اوس نہٕ مجلِس قٲیِل کرنَس لایق
152,Notorious is the adjective which describes him best .,بدنام چُھ سُہ صفت یُس تس بہتریٖن پٲٹھۍ بیان چُھ کران۔
153,The coffee shops adjoin the hotel's reception .,کافی شاپ چھِ ہوٹل کِس رِسیٚپشَنٛس لرِ لوٚر
154,We have to adjust to the changing conditions of weather.,اسہِ چُھ موسم کہِ تبدیٖلی سۭتۍ ہم آہنٛگ کَرُن
155,You need to adjust the rear view mirror to get a clear view.,صاف نظارٕ وٕچھنہٕ خٲطرٕ پیٚیَو تۄہہِ ریئر ویو شیٖشہٕ صٔحیح پٲٹھۍ تھاوُن
156,We can adjust the balance later on.,أسۍ ہٮ۪کَو بیلنٛس پتہٕ تہِ بَرابر کٔرِتھ
157,The car tyres needed slight adjustment to drive in the hilly area.,پٔہٲڑی علاقس منٛز پکنہٕ خٲطرٕ چھےٚ گاڑِ ہِنٛدٮ۪ن ٹٲرن معموٗلی سٮ۪زَر کرنٕچ ضٔروٗرت
158,We need to administer the budget accordingly.,اسہِ چُھ امے مطابق بجٹُک بُندٕبَستہٕ کَرنٕچ ضرورت
159,The Court of Law is responsible to administer justice.,قانونی عدالت چھِ انصافی فٲسلہ عملہِ منٛز اَننٕچ ذمہ دار
160,A special team was called to administer relief to the cyclone hit victims.,طوٗفانس منٛز مُتٲثر گَژھن والٮ۪ن اِمداد دِنہٕ خٲطرٕ آیہِ اکھ خٔصوٗصی ٹیٖم بُلاونہٕ
161,He works efficiently in the school administration.,سُہ چُُھ سُکوٗل اِنٛظامیاہس منٛز قابلِیت سان کٲم کَران
162,A complex administrative problem came up suddenly.,اکھ مُشکِل اِتِظٲمی معاملہٕ گوٚو کھڑا
163,He works as an administrator in the public works department.,سُہ چُھ محکمہ تعمیٖراتہِ عامَہس منٛز بَحیثیت نٲظِم کٲم کَران
165,He got an admission to the Union club.,تٔمِس میٛول یونین کٔلبس منٛز دٲخلہٕ
166,He made an admission that he lied.,تٔمۍ کوٚر آنٛکار زِ تٔمۍ چُھ اَپُز ووٚنمُت
167,I cannot admit this erronous judgement.,بہٕٕ ہٮ۪کہٕ نہٕ یہٕ غلط فٲصلہٕ مٲنِتھ
168,We will admit only the membership holders into the conference hall.,کانفرنٛس ہالس منٛز یِیہِ صرِف رُکنِیت تھاون والٮ۪ن شخصن اژنہٕ دِنہِ
170,The adolescence is a difficult phase.,یاوُن چُھ اکھ مُشکِل وقٕت
171,My husband and me want to adopt a baby girl.,بہٕ تہٕ میٛون خانٛدار چھِ یَژھان منٛگتہٕ کوٗر رٹٕنۍ
172,We need to adopt only suitable values.,اسہِ پَزن صِرِف مُنٲسِب وصو اپناوٕنۍ
175,There is only one adult in their family.,تِہنٛدِس عیالس منٛز چُھ اَکُے بالینٛغ
176,Adult movies are mostly prohibited for minors.,عٔموٗمن چھےٚ بالغ فِلمہٕ نابالینٛغن وٕچھنہِ منٛع
177,The flood shall advance in no time.,سٔہلاب پکہِ کیٚنٛژس کالس منٛز برٛونٛہہ کُن۔
178,They made an incomparable advance in their business.,تِِمو کٔر پنٛنِس کاروبارس منٛز بےٚ مِسال ترقی
179,Recent advances made in medicine are unimaginable.,طبی شعبس منٛز حالَے یۄس ترقی کرنہٕ چھےٚ آمٕژ سۄ چھےٚ ناقٲبلہِ قیاس
180,The company paid an advance salary to its employees on New Year.,کمپٔنی دیُت پنٛنٮ۪ن مُلٲزمن نٔیِس ؤریس پٮ۪ٹھ مہوار
181,There was no advance in their economic state.,تِہِنٛزن مٲلی حالاتن منٛز اوس نہٕ کانٛہہ ہُریر
182,She rejected his friendly advances.,تٔمۍ کٔر تٔمۍ سٕنٛز دوستانہٕ پیش قدمی نامنظوٗر۔
184,His ideas are quite advanced.,تٔمۍ سٕنٛدۍ خیالات چھِ سیٚٹھا اعلیٰ۔
185,The company did not give any advance notice of its closure.,کمپٔنی دیُتھ نہٕ کانٛہہ بنٛد گژھنُک برٛونٛہہ اعلان
187,The new policies led to an advance in the cost of shares.,نیہِ پالسی یِنہٕ کِنۍ ہُریو شِیَرن ہُنٛد قۭمت
189,The meeting advanced into the late night due to the inconveniences in the city.,شہرس منٛز مُشکِلات آسنہٕ کِنۍ پٔچ میٖٹِنٛگ/ مجلِس شام تانۍ
190,The advanced technology has resolved many complications.,ترقی یافتہٕ ٹیٚکنالوجی سۭتۍ درٛاو واریاہن مُشکِلاتن ہُنٛد ہَل
191,This version is meant for advanced learners.,یہِ ؤرجن چُھ مٲہِر ہیٚچھن والٮ۪ن ہِنٛدِ خٲطرٕ
192,His advanced ideas proved profitable.,تٔمۍ سُٕنٛدۍ نٔوۍ خیال گٔیہِ فٲیدٕ منٛد صٲبِت
193,Their advanced age has not deterred them from travelling.,تِہنٛزِ بڑوٕنۍ وٲنٛسہِ چھےٚ نہٕ تِہِنٛدِس چکرس گژھنس منٛز کانٛہہ تہٕ رُکاوٹ پٲدٕ کٔر مٕژ
194,Raj took full advantage of the offer.,راجن تُل موقُک پوٗرٕ فٲیدٕ
195,She has an advantage due to her knowledge of different languages,تٔٔمِس چُھ واریاہن زبانن ہِنٛز زان کٲری آسنہٕ کِنۍ فٲیدٕ
196,Her decision can be advantageous for the whole family.,تٔمۍ سُنٛد فٲصلہٕ ہیٚکہِ پوٗرٕ عیالہٕ خٲطرٕ فٲیدٕ منٛد صٲبِت گٔژِھتھ
197,A tall basketball player has an advantage of his height.,أکِس تٔھدِس باسکٮ۪ٹ بال کِھلٲڑِس چُھ پنٛنہِ قَدُک فٲیدٕ آسان
198,He took advantage of her trust by not giving her the correct details..,تٔمۍ دِتۍ نہٕ تٔمِس صٔحی تفصیٖل تہٕ تُلنَس بَروسُک غلط فٲیدٕ
199,His representation in the Student union made an advantage to all his classmates.,سٹوڈنٛٹ یوٗنٛیَنس منٛز تٔمۍ سٕنٛزِ نُمٲیِنٛدگی آسنہٕ کِنۍ ووت تَسٕنٛدٮ۪ن ہم جماتٮ۪ن فٲیدٕ
200,Jim Corbet`s adventures in Kumaon are very thrilling.,کُماونس منٛز جِم کاربیٹ سٕنٛز دِلیری چھےٚ جوش سۭتۍ بٔرِتھ
201,Does the sentence contain any adverb?,جُملس منٛز چھا کانٛہہ ڈکھٕ کرٛاوُت؟
202,All big companies advertise their products.,سارے بجہِ کمپٔنیہِ چھےٚ پنںنٮ۪ن چیٖزن ہُنٛد اشِتِہار دِوان
203,The apartment was not as good as the advertisement claimed.,اپاٹمٮ۪نٛٹ اوس نہٕ تیٛوتاہ اصٕل کیٚنٛہہ یوٗتاہ زن اِشتِہارس منٛز دعوا کرنہٕ اوس آمُت
204,The new methods of advertising are very creative.,اِشتِہار بٲزی ہِنٛدۍ نٔے طٔریٖقہٕ چھِ واریاہ تخلیٖقی
205,He gave me a compatible advice.,تٔمۍ دیُت مےٚ اکھ مُنٲسِب مشوَرٕ
206,You cannot take this medicine without a physician`s advice.,ژٕ ہٮ۪کَکھ نہٕ ڈاکٹر سٕنٛزِ صلاح بغٲر یہٕ دَوا کھٮ۪تھ
207,The doctor advised him a complete rest.,ڈاکٹَرن چُھ تٔمِس مُکمل آرام کرنُک مشوَرٕ دیُتمُت
208,Please advise us when you will arrive here.,مہربٲنی کٔرِتھ کٔرزٮ۪و اسہِ آغاہ ییٚلہِ تُہۍ یور وٲتِو
209,An advisory committee was formed to resolve the issue of pension.,پیٚنٛشَنُک مسلہٕ حل کرنہٕ خٲطرٕ آیہِ صَلاح کار کٔمیٖٹی بناونہٕ
210,We all advocate the new government policy.,أسۍ سٲری چھِ حکومت چہِ نیہِ پالسی حمایت کران۔
211,He is a well known advocate.,سُہ چُھ اکھ ناموَر ؤکیٖل
212,I advocate the revision of present syllabus.,بہٕ چُھس موجوٗدٕ نِصابس بیٚیہِ اکہِ لٹہِ نظر ثٲنی کرنہٕ کِس حقس منٛز
213,Travel by aeroplane saves lot of time.,ہوٲیی جہازس منٛز سفر کرنہٕ سۭتۍ چُھ واریاہ وقت بَچان
214,She has developed a good aesthetic sense.,تٔمِس منٛز چُھ اکھ اصٕل جمالِیٲتی احساس پٲدٕ سپُدمُت
215,Her designs are aesthetically mature and appreciable.,تٔمِۍ سٕنٛدۍ نقشہٕ چھِ جمٲلیٲتی طورس پیٚٹھ پۄختہٕ تہٕ تعریٖفن لایق۔
216,Please keep your personal affair out from this discussion.,مہربٲنی کٔرِتھ تٔھیِو پنٕۍ ذٲتی ماملہٕ ییٚمہِ بہژ نِش دوٗر
217,She is having an affair with the boy next door.,تٔمِس چُھ ہمساے لٔڑکس سۭتۍ لولُک معاملہٕ
218,I need a constant information about the current affairs.,مےٚ چھےٚ موجودٕ معاملاتن مُتعلق مُسلسل زانٛکٲری ہِنٛز ضٔروٗرت
219,The new budget will certainly affect the masses.,نَیہِ بَجٹ سۭتۍ گَژھِ یٔقیٖنی طور عوام مُتٲثِر
220,The flood affected areas are completely destroyed.,سٔہلاب سۭتۍ مُتٲثِر گٔمٕتۍ علاقہٕ چھِ پوٗرٕ پٲٹھۍ تباہ گٔمٕتۍ۔
221,I have a deep affection for you family.,مےٚ چُھ چٲنِس عیالس خٲطرٕ سٮ۪ٹھا لول
222,The village has been severly afflicted with floods.,گامس چُھ سٔہلاب سۭتۍ سٮ۪ٹھا نۄقصان ووتمُت
224,They cannot afford a car right now.,تِمن چُھ نہٕ وٕنٛکٮ۪س گٲڈۍ ہٮ۪نُک طاقت
225,She was afraid for her children.,سۄ ٲس پنٛنٮ۪ن شُرٮ۪ن باپت خوف زَدٕ
226,I am not afraid of dogs anymore.,مےٚ چُُھ نہٕ وۄنۍ ہونٛٮ۪ن ہُنٛد خوف
227,We will go for coffee after the meeting.,أسۍ گَژھو مِٹِنٛگ پتہٕ کافی چیٚنہِ
228,I will return after two weeks.,بہٕ یِمہٕ دۄیہِ ہفتہٕ پتہٕ واپس
229,I was standing after him in the queue.,بہٕٕ اوسُس تٔمِس پتہٕ کنہِ لٲنہِ منٛز کھڑا
232,We shall rectify these problems in the after years.,أسۍ کَرو یِنہٕ والیٚن ؤرِین منٛز یِم مسٲیِل ٹھیٖک۔
234,We can eat afterwards.,أسۍ ہٮ۪کو پوٚتُس کھٮ۪تھ
236,"It is very efficient, and again, it has its own inefficiency and disadvantages.",یہِ چُھ قٲبلہِ لایق مگر تۄپتہٕ چھےٚ اتھ پنٕنۍ ناتٲثیٖری تہٕ نۄقصاناتات
237,We are sloganeering against the new government.,أسۍ چھِ نیہِ حُکومتہِ خٕلاف نارٕ بٲزی کران۔
238,India played superb against South Africa.,ہِنٛدُستانن گیٚنٛد جٔنوٗبی افریٖقہس خٕلاف نٔفیٖس پٲٹھۍ
239,I was leaning against the wall for a long time.,بہٕ اوسُس لبہِ سۭتۍ واریاہس کالس کھڑا
240,He stood firmly against the culprit.,سُہ روٗد مُجرِمس خٕلاف پۄختہٕ پٲٹھۍ کھڑا۔
241,It is hard to calculate the age of this tree.,ییٚمہِ کُللِچ وٲنٛسہِ ہُنٛد انٛدازٕ لگاوُن چُھ مُشکِل
