ID,sentence,Usage
135,There was a decrease in the speed of train near the station.,Public
136,What kind of nut would leave a car on a railway track?,Public
137,I like your tie.,Public
138,She may arrive any day.,Public
139,He occupies a senior position in the firm.,Public
140,A rope was tied around a rock nearby.,Public
141,We need to look at the annual reports of last one decade.,Public
142,They thrust him into the back of a car.,Public
143,The temple is a good place for worship.,Public
144,Is the art museum open on all days?,Public
145,The aim of the terrorists is to terrify people!,Public
146,The theft took place in the broad day light.,Public
147,Police used a truncheon to beat the culprit.,Public
148,A dense population of trees framed the hut.,Public
149,The police collected clues in order to piece together the details of murder case.,Public
150,A reporter voiced the story.,Public
151,What is the date today?,Public
152,My friend has just come out of hospital.,Public
153,Don't victimise the weak.,Public
154,His greatest attribute was his helpful nature.,Public
155,He is considered the man of highest credit.,Public
156,She definitely needs the money.,Public
157,He has a boil on his back.,Public
158,I think that's sufficient.,Public
159,The Indian team met the Australians in the finals.,Public
160,Mountaineers have to take several long pulls to reach their destination.,Public
161,His answer was very brief.,Public
162,She has a small chin.,Public
163,He had a visceral dislike of Europe.,Public
164,He often tyrannizes his family.,Public
165,Apples from this region are freighted all over the world.,Public
166,The watercourse is being dried up.,Public
167,The goal of all students should be surpassing others.,Public
168,That gun has a long bore.,Public
169,I don't think so! she replied tartly.,Public
170,The doctor is very patient with his patients.,Public
171,I watched the movie on videotape.,Public
172,We measure fever with a thermometer.,Public
173,It was a joint operation of police and army.,Public
174,My mother motivated me to choose this profession only.,Public
175,The incident has to be logged.,Public
176,He made a cool appraisal of all issues in the dispute.,Public
177,We have enough quantity of provisions for the month.,Public
178,Prices of fruits vary from place to place.,Public
179,The school extended invitation to the parents on the annual day.,Public
180,She has committed herself for completing the research.,Public
181,He described them as a virtuous and hard-working people.,Public
182,He is better at practical tasks.,Public
183,"He is verminous, dirty person.",Public
184,Give the floor a good wipe.,Public
185,He is working in the personnel department.,Public
186,I am devoted to my father.,Public
187,I just can't sing in tune!,Public
188,The pitchers play a very important role in base ball.,Public
189,The teacher can`t guarantee you success in the exams.,Public
190,We enjoyed our journey to the fells.,Public
191,He delivered couple of punches with great force.,Public
192,The monk was found to be a fraud.,Public
193,He objected to his use of indecent language.,Public
194,Oil is barrelled before shipping to other countries.,Public
195,I've found a vase that's an exact match of one we already have.,Public
196,They netted many fishes.,Public
197,"This is her family trade, passed (down) from generation to generation.",Public
198,What features do you look for when buying a car.,Public
199,This summer he is visiting his aunt in Paris.,Public
200,Her house is pretty big.,Public
201,The holiday gave us an opportunity to visit Washington.,Public
202,He felt a twinge when he stood up,Public
203,The academic standards differ in the institutions.,Public
204,Journalists are an interesting race.,Public
205,The teacher whipped the boy.,Public
206,Maryam came to the party in a pink coloured dress.,Public
207,He joined the company as a trainee.,Public
208,Thank you very much for your cooperation.,Public
209,I won`t eat that poison.,Public
210,He is well versed in history.,Public
211,The miracle left everyone speechless.,Public
212,Where did you keep that paper?,Public
213,The suspense was unbearable.,Public
214,The soldiers have to stand for hours without changing position.,Public
215,His father is a clerk.,Public
216,They're building a new school in the village.,Public
217,Efforts are being made to preserve the wildlife.,Public
218,The fisherman had a weather-beaten face.,Public
219,He is well versed in history.,Public
220,She belongs to a poor class.,Public
221,Aluminium is a composite metal.,Public
222,Her ring had a gold coating.,Public
223,I want to make an enquiry about train times.,Public
224,Pine trees are found in cool northern regions and are used for making furniture.,Public
225,That is a newly discovered planet.,Public
226,The Taj Mahal is made of marble.,Public
227,My mother usually prepares a special dish on Saturday.,Public
228,Please transfer money.,Public
229,He glanced at me.,Public
230,Add up all the numbers.,Public
231,The terms are subject to the approval of the managing committee.,Public
232,She will acquire the files by tommorrow.,Public
233,Please put away your toys.,Public
234,"She dislikes me, and vice versa.",Public
235,This job is usually prefered by females.,Public
236,Without evidence we could only surmise that something was wrong,Public
237,The width of this corridor is eight feet.,Public
238,Two other points must be abstracted from the lecture.,Public
239,She refused her suitor.,Public
240,Their work must be checked weekly.,Public
241,He has a prominent pimples on his face.,Public
242,The available load is not enough to meet the requirements of the city.,Public
243,I don't know him personally.,Public
244,He grew up in a conventional environment.,Public
245,There are fifteen of us present.,Public
246,He leaned across to wait for us.,Public
247,I'm thrilled.,Public
248,He was packing his luggage for a holiday tour.,Public
249,Anyone could walk up into the enclosure.,Public
250,He turned around and walked back to the bus station.,Public
251,Water chestnuts are very crispy.,Public
252,All these trusteeships were slowly returned to Japanese rule.,Public
253,The vigilantes dragged the men out.,Public
254,They use vermilion to colour their cheeks.,Public
255,The climbers failed to reach the summit.,Public
256,By reading she improved her vocabulary.,Public
257,This is a fine colour for your shirt.,Public
258,I will try again tomorrow.,Public
259,Women have to fight for their emancipation.,Public
260,Numerous people saw the movie.,Public
261,My laptop processes much more quickly than my computer.,Public
262,The cow is afflicted with pharyngitis۔,Public
263,The stadium is in farther northern part of the city.,Public
264,Do you want anything to eat?,Public
265,My friend has ultra sensitive ears,Public
266,The army was deployed as a defensive force.,Public
267,Undesirable consequences flow from these misconceptions.,Public
268,I am very upset,Public
269,The ship was leaning over to port.,Public
270,The police play a vital role in our society.,Public
271,I made multiple copies of the document.,Public
272,Computer is included in the curriculum at the schools.,Public
273,We need to encourage innovation in industry.,Public
274,He is a very efficient person.,Public
275,A thunderclap exploded above us.,Public
276,Will you make a drink for me?,Public
277,It is good to know our own strengths and weaknesses.,Public
278,It's just a waste of money.,Public
279,I like almost all colours except pink.,Public
280,He was given a gift voucher.,Public
281,He is a wise and a clever fellow.,Public
282,Is tea included with this meal?,Public
283,Parents of brilliant students always feel proud of them.,Public
284,The children were well behaved.,Public
285,If we heat iron it becomes red.,Public
286,She has a variety of clothes.,Public
287,Relations have to be built on trust.,Public
288,We have to pull the weeds,Public
289,You're terrifying the kid.,Public
290,He is virtueless.,Public
291,We visited them twice in 10 years.,Public
292,The surgeons knife penetrated deep into the patient's body.,Public
293,I helped an aged man to cross the road.,Public
294,The old machine pulled hard when it was operated after a time gap of one month.,Public
295,He came to see me at my office with a business proposition.,Public
296,They are trampling on our rights.,Public
297,I have named my son Hassan.,Public
298,Surely we should do something about it?,Public
299,He stood third in the test.,Public
300,She told him where to put the luggage.,Public
301,She clothed herself in a new dress.,Public
302,It is a sin to covet.,Public
303,The telephone gave a tinkle.,Public
304,He ordered the army to invade at dawn.,Public
305,It is customary to welcome the guests.,Public
306,He listened to my tale of woe.,Public
307,I lost my purse.,Public
308,They arrived at twilight .,Public
309,He was outraged on calling ass by his boss.,Public
310,The crop of new students is efficient.,Public
311,He isn't suffering now.,Public
312,Her tactless remark offended me.,Public
313,I am a native of M.P.,Public
314,I asked my mother to come with me but she didn't take any notice.,Public
315,The project is funded by WHO.,Public
316,Always respect the seniors.,Public
317,This observation is nearly a truism.,Public
318,She runs a thriving business.,Public
319,She turned her head to watch him.,Public
320,Can you tow this car?,Public
321,He was given a cold reception.,Public
322,Neither of them was tall.,Public
323,The guests received a warm welcome.,Public
324,God is the maker of this universe.,Public
325,This is her personal work.,Public
326,She was wailing in grief .,Public
327,We have plenty of time left to do our work.,Public
328,The standards of morality of the people are on the increase.,Public
329,"As the soldier's body was laid out,there was ululation among the people.",Public
330,He tied a cord around his luggage.,Public
331,I want to buy a rug.,Public
332,The bride and groom exchanged vows.,Public
333,The warhorse was tremendous last season.,Public
334,Keep a tally of how much you spend,Public
335,The ship pitched in the sea due to tides.,Public
336,Then the instructor asked for another volunteer.,Public
337,Price of plastic items are cheaper than the metal ones.,Public
338,I am proud of my children.,Public
339,We have to buy woollen costumes.,Public
340,"As the year draws to a close, the story is changing.",Public
341,It was a beautiful waterfall.,Public
342,"He was wayward, high-spirited and self-confident.",Public
343,I am extremely impressed by his performance.,Public
344,We made an analogy between these things.,Public
345,There were more fish around in the pool.,Public
346,He is an expert in his field.,Public
347,The building collapsed due to earthquake.,Public
348,Morning swimming is advantaɡeous for the body.,Public
349,A new council was set up under the direction of the president.,Public
350,She was very short in height.,Public
351,You can buy watercolor at any store.,Public
352,The dying man blessed his son.,Public
353,Lots of people come to this temple every day.,Public
354,The supervisor fired him after he showed up at work drunk.,Public
355,He was deprived of the family inheritance.,Public
356,The police delivered the people from the dacoits.,Public
357,He made a portrait of his daughter.,Public
358,I take tea with lots of sugar.,Public
359,He has committed a crime.,Public
360,He obtained pardon for his sins.,Public
361,I admire him for his wit.,Public
362,She curled her hair for attending the party.,Public
363,He agreed to act as treasurer.,Public
364,This vibrator is used to reduce pain.,Public
365,The alliance will be declared at an appropriate time.,Public
366,Hold the pen between finger and thumb.,Public
367,Presently he is working in Riyadh.,Public
368,To give our problems a solution we should be pacific.,Public
369,The dentist put a crown on his molar.,Public
370,The effects were substantial in magnitude.,Public
371,Bhagavat Gita has eighteen chapters.,Public
372,Ram borrowed the money from the banker.,Public
373,Feeding the beasts is a big job.,Public
374,He launched into a tirade against the church.,Public
375,There's not a vestige of truth in the story.,Public
376,Please write down your name and occupation on a piece of paper.,Public
377,She was hurt by her friend's cold reception.,Public
378,"After the invention of printing, our society has changed a lot.",Public
379,Students having potential should be encouraged to work harder.,Public
380,When I was in deep trouble he helped me as a partisan of mine.,Public
381,It is weightless bucket you can lift it.,Public
382,He bared the facts of the case before the judge.,Public
383,Paintings hanging on the wall look nice.,Public
384,The president has the power of veto on all decisions.,Public
385,Keep the book on the bottom shelf.,Public
386,Some funding agency has to back the research project.,Public
387,These bees yield no honey.,Public
388,It was just a tragic accident.,Public
389,He made a beautiful picture.,Public
390,It is presumed that they are vermivorous,Public
391,He eats only bland food because of his ulcer in stomach.,Public
392,Rinse your mouth every morning.,Public
393,We have no fruits in the house.,Public
394,It is still a living custom there.,Public
395,She travels by bus to reach her office.,Public
396,She has already bagged the most comfortable chair.,Public
397,The naval force of that country is very huge.,Public
398,The students apologized before the Principal for teasing freshers.,Public
399,V.P. Singh was an observer at the U.N. meet.,Public
400,They saw the vertex of the mountain.,Public
401,The curve on that road is very dangerous.,Public
402,She drained the water with a sieve.,Public
403,Twenty minutes were lost due to the rain.,Public
404,The girls chorused at the party.,Public
405,"If you want knowledge, you must toil for it.",Public
406,Smoking vitiates the air.,Public
407,The burglar was held in contempt.,Public
408,He wants to bring out the finest in all of us.,Public
409,Please open your mouth.,Public
410,The Himalayan mountains are on the borders of India.,Public
411,He wheezed because of chest disease.,Public
412,The poet described the crown of Himalayas.,Public
413,Its very big of him to donate half of his salary to the flood victims.,Public
414,She left the books with her friend.,Public
415,It is not feasible for her to compete with them.,Public
416,He took a deep breath and dived into the river.,Public
417,The singer handled the notes very beautifully.,Public
418,My little son has a thrush.,Public
419,He fixed a picture to the wall.,Public
420,They have programmed the list and you are the first to speak.,Public
421,Your logic did not impact him.,Public
422,Tourists crowded the bus.,Public
423,I hanged all my clothes on the rope.,Public
424,We never had an anticipation that such a disaster will take place.,Public
425,He needed treatment.,Public
426,I wear glasses while reading.,Public
427,He had become mean and viperous.,Public
428,You cannot conduct the business without your partners.,Public
429,He passed the time chatting with fellow travellers.,Public
430,Please fix the bulb in a holder.,Public
431,The overarching bridge connects two main points.,Public
432,We sailed into a beautiful bay.,Public
433,His brother is a member of a youth fellowship.,Public
434,The train jolted into motion.,Public
435,The couple is staying at this house.,Public
436,The computer works okay.,Public
437,Raj took complete advantage of the situation.,Public
438,You need to contain your temper.,Public
439,He has official powers to do anything.,Public
440,He plays a viola.,Public
441,There are some points on the table.,Public
442,Honesty is a virtue.,Public
443,That was a live drama.,Public
444,I am against hunting in any form.,Public
445,He was convicted of murder.,Public
446,She was wearing a buff color saree.,Public
447,His remarks always vivify a sick person.,Public
448,He used a cart to carry the rocks away.,Public
449,This is the best water carrier I've seen.,Public
450,They buried the dead.,Public
451,The vigilantes dragged the men out.,Public
452,A vet treated the injured horse.,Public
453,"When the marimba rhythms start to play, dance with me.",Public
454,A coat of mail was worn by the soldiers.,Public
455,We employed a lawyer to solve our legal tangle.,Public
456,Fifteen is my lucky number.,Public
457,I asked him to come to the party.,Public
458,There were mutters that exams should be postponed.,Public
459,She is a very capable lawyer.,Public
460,Her grandmother is past eighty five.,Public
461,His vernacular style is liked by everyone.,Public
462,Our school is close to the river bank.,Public
463,He loved truth and non violence.,Public
464,This much of rice will not feed ten people.,Public
465,I am not yet ready to for such a commitment.,Public
466,I love people of my country.,Public
467,He is our domestic servant.,Public
468,The company made delivery of the goods on time.,Public
469,Please wax the floor.,Public
470,There is a vendor at the corner of the street.,Public
471,Ram shot an arrow that hit a flying swan.,Public
472,He is a famous physician.,Public
473,The school admits only 50 students in a session.,Public
474,He is a self determined person.,Public
475,They live in that house.,Public
476,"When my uncle drinks too much, he becomes very truculent.",Public
477,The road map shows several contours.,Public
478,She queens the company.,Public
479,Commercial warfare was to be avoided because of the cost.,Public
480,They had strong ties of friendship between them.,Public
481,She launched a vitriolic attack against us.,Public
482,She had a convenient excuse for not going out.,Public
483,I feel this celebration quite alien.,Public
484,This lot has been kept for him.,Public
485,Many of these people suffer from tuberculosis.,Public
486,The truth was so painful.,Public
487,She trudged up the hill.,Public
488,Some of her finger nerves were badly damaged when she crushed her hands in the car door.,Public
489,Whispering in front of people is considered very rude.,Public
490,She completed her work in a surreptitious manner.,Public
491,He was trembling with fear.,Public
492,I do not generally like to travel in the summer months.,Public
493,My future seemed to be on a downward trajectory.,Public
494,The press reporters were apprised of the meeting.,Public
495,"Sorry, did I tread on your bag?",Public
496,I had my tonsils out when I was ten.,Public
497,The patient's blood did not clot.,Public
498,They are selling a necklace of vermeil.,Public
499,The class was so boring that all the students were physically there but mentally somewhere else.,Public
500,The deal may coin our business.,Public
501,She advises me on technical matters.,Public
502,Those buildings are adding uglification to the world.,Public
503,She has traveled throughout the world.,Public
504,"We measure the items by weight, not by volume.",Public
505,Our neighbours were very friendly when we moved to our house.,Public
506,We enjoyed the music and dance at the theater.,Public
507,Keep the food in a big vessel.,Public
508,A superficial injury is not serious.,Public
509,The odour coming from outside was not pleasant.,Public
510,"Look, this is not going to help you in any way!",Public
511,She lay there wakeful the whole night.,Public
512,My fingers are tingling due to cold.,Public
513,He shook my hand warmly.,Public
514,The boy suddenly pitched forward out of his seat when the driver applied a sudden break.,Public
515,They are holding a discussion on theocracy.,Public
516,People were in a state of gloom due to India`s defeat in the world cup.,Public
517,Can you give me your paper knife?,Public
518,Many people assembled before the Prime Minister`s office.,Public
519,We cannot depend on others for daily needs.,Public
520,I really like the calm of midnight.,Public
521,Do not waste the food.,Public
522,They have entered into a loose alliance.,Public
523,The collective held a meeting.,Public
524,It's not decent to do so.,Public
525,She came down tumbling the stairs.,Public
526,The situation brought out the viciousness in him.,Public
527,She spent all her inheritance in a year.,Public
528,"Although she is very poor, she has not lost her dignity.",Public
529,I got a fellowship at University of Manchester.,Public
530,Where are you going?,Public
531,His conduct is admired in the family.,Public
532,Why do you hesitate to invite him?,Public
533,I do not hide things.,Public
534,Doctor examined the patient very well.,Public
535,I spent six months as a visiting professor,Public
536,The airline has been criticized for failing to heed.,Public
537,He lives in the old town.,Public
538,I'll wait for you in the vestibule.,Public
539,I wrote a book and prepared for the press.,Public
540,He could not finish the task، though he assayed hard.,Public
541,She spoke with great force.,Public
542,The principal thing in this world is to be honest.,Public
543,Bangalore is called the city of gardens.,Public
544,Use vinegar for onions.,Public
545,You will get the conveyance.,Public
546,He is lodging in a family as a paying guest.,Public
547,Sachin is an excellent cricket player.,Public
548,Send them your vitae if you want to apply for this job.,Public
549,She always talks in abstractions.,Public
550,He vowed never to go there again.,Public
551,I am very clear in my conscience.,Public
552,I'm afraid I don't follow.,Public
553,I narrated the whole story to my brother.,Public
554,They saw a man lurking in the dark.,Public
555,We have to help the weakest.,Public
556,It matters little to me what people think of me.,Public
557,She has very little vision in her left eye,Public
558,They deliberately avoided the issue.,Public
559,Being a veterinarian is my lifelong dream.,Public
560,There was a three-story building on the corner.,Public
561,The fight ended only with the timely arrival of the police.,Public
562,Two men armed with rifles entered and looted the bank.,Public
563,Some youngsters have joined the yoga class.,Public
564,All my official correspondence is carried out by my secretary.,Public
565,The council is working on the ways of reducing traffic in the city.,Public
566,He has suffered a lot because of his vertebral injury.,Public
567,He proudly displayed his prize.,Public
568,I am going to my village to meet my folks.,Public
569,Give this book to Azan and keep the others for Adeem.,Public
570,This comedian is known for his vulgarity.,Public
571,We devised a scheme to clean the city.,Public
572,The fore part of the car was damaged in the accident.,Public
573,He has a great drive to become rich.,Public
574,Please excuse his rude behavior.,Public
575,They have accepted our decision.,Public
576,We all stayed overnight at our friend's place.,Public
577,Allegations of sexual harassment have led to proceedings being taken against two police officers.,Public
578,The book is very interesting.,Public
579,Such an obstinance can't be acceptable.,Public
580,The driver was peering to read the road sign.,Public
581,Everybody was anxiously waiting for the results.,Public
582,The criminals escaped from the prison.,Public
583,This picture is comparatively good.,Public
584,May I help you?,Public
585,She was vibrant with anger.,Public
586,These plants imbibe water through their roots.,Public
587,There are eleven players in a hockey team.,Public
588,He is a viticulturist.,Public
589,In library you have to pay a penalty for returning a book late.,Public
590,My feet began to tickle.,Public
591,They kept me in a tidy room.,Public
592,We should fight for the honour of our country.,Public
593,I wasted my life by not doing anything.,Public
594,I have to prepare myself for my yearly exams.,Public
595,He is a veterinary surgeon.,Public
596,Her art flowered eventually.,Public
597,There was a debate on political issue.,Public
598,We have to class these words in different categories.,Public
599,Keep your valuables inside the locker.,Public
600,He finishes the work quickly.,Public
601,We can drain the resources for constructive purposes.,Public
602,"I mean, he always was a sweet talker.",Public
603,He got the money from me by a trick.,Public
604,The cow was taken to the veterinary hospital.,Public
605,Milk contains calcium.,Public
606,The kid's hand was viscid.,Public
607,I arranged all my clothes in the cabinet.,Public
608,She had previously worked in this institution.,Public
609,He was recently appointed as the Governor of the Punjab.,Public
610,We bade her farewell at the airport.,Public
611,Water solidifies during night.,Public
612,They decided to stay apart.,Public
613,I didn`t get the chance to view your new house.,Public
614,He is a greedy man.,Public
615,It is better to be alone than in bad company.,Public
616,I don't get time for play.,Public
617,Her face was yellowed with fear.,Public
618,No one doubt the preeminence of my father in financial matter.,Public
619,Ten people were killed in the train crash.,Public
620,The team played a fair game.,Public
621,She yelled out in pain.,Public
622,The orphanage is situated in Batamaloo.,Public
623,Cricket lovers were watching the match with great anxiety.,Public
624,They are actively lobbying against the bill.,Public
625,"With continuous efforts, they were able to solve their problem.",Public
626,Don't trifle with the matter.,Public
627,The disease has weakened him.,Public
628,They were great fighters.,Public
629,The Indian market accounted for 40% of the total sales.,Public
630,There was some noise in the street.,Public
631,His life is in danger.,Public
632,The window offered a lovely view of the lake.,Public
633,Industrialized countries consume natural resources in huge quantities.,Public
634,Let me just rinse my hands.,Public
635,I was standing just near enough to hear what they were saying.,Public
636,The goldsmith was praised by everyone for his craft.,Public
637,The play was vivace.,Public
638,That little girl is very cute.,Public
639,He comes to my house frequently.,Public
640,They completed their job effectively.,Public
641,Smoke triggered the fire alarm.,Public
642,His fingers are long and thin.,Public
643,I am thirty years old.,Public
644,It is necessary to act wisely in an emergency.,Public
645,The programme was held on the following day.,Public
646,A throng of officers surrounded him.,Public
647,It must be a virus.,Public
648,What is the plural of 'child' ?'.,Public
649,The entire fabric of the building needs renovation.,Public
650,That man watched the children crossing the lane.,Public
651,The superviser was fully satisfied with his work.,Public
652,I saw a drove in the field.,Public
653,I am so much tired.,Public
654,They live just west of here.,Public
655,The manager welcomed the suggestion.,Public
656,Mosquitoes will feed on any vertebrate blood.,Public
657,Persistent questioning by the police made him unconscious.,Public
658,They adopted my viewpoint.,Public
659,The sky was full of clouds.,Public
660,The caravan covered almost 100 miles each day.,Public
661,"There is no need of mending my shoes, I have rejected it.",Public
662,It is too dangerous to handle a dynamite .,Public
663,I want to have a party.,Public
664,The chief of the army staff visited the border areas.,Public
665,He became the Vice President of the United States.,Public
666,He was late last Thursday.,Public
667,They're playing at the coliseum.,Public
668,The ambulances were detailed to the accident site.,Public
669,The guests arrived at noon.,Public
670,A woman also has the right to vote.,Public
671,Neon emits a characteristic red glow.,Public
672,The graph of the company`s production is here.,Public
673,This diet is full of vegetables and legumes.,Public
674,The fairy's magic changed the two brothers into ducks.,Public
675,He is a wastrel person.,Public
676,The function will start without any delay.,Public
677,I lost my gun.,Public
678,Nebulas are so distant that they cannot be observed in sufficient detail.,Public
679,This land belongs to a governmental institution.,Public
680,This way leads to my home.,Public
681,The moon cast a pale light over the houses.,Public
682,Their illness can be attributed to the poor diet.,Public
683,"I consider buying it, but waver.",Public
684,They wants to distribute the books in Asia first.,Public
685,Poor health may be a bar to success in life.,Public
686,He gave us a bright idea.,Public
687,You better look it up in the dictionary.,Public
688,A decisive person should lead the party.,Public
689,It is an abstract painting.,Public
690,A vixen was roaming in the forest.,Public
691,He denounced to the police about the crime.,Public
692,Why do the aged tend to be taciturn?,Public
693,The copper trey is plated with silver.,Public
694,He has got a new computer.,Public
695,The sky was dotted with stars.,Public
696,The younger children are the darlings of the parents.,Public
697,It is given to drink spirits.,Public
698,He is a close relative of mine.,Public
699,She has now got a permanent job in a school.,Public
700,There is a crisis across the country.,Public
701,Paganini was a brilliant violinist,Public
702,The inquiry found no verifiable evidence of document,Public
703,My uncle has a farm in the village.,Public
704,Don't tempt me.,Public
705,My neighbour's feline is very cute.,Public
706,The draft of the letter is ready.,Public
707,We have to work for the welfare of the needy.,Public
708,He was extremely superstitious,Public
709,I convinced her to go by plane.,Public
710,The doctor cured the disease in its primary stage only.,Public
711,We need to raise public awareness of the issue.,Public
712,The company was on the verge of going bankrupt.,Public
713,"You will be in trouble, just mark my words.",Public
714,Our goal in this work has been twofold.,Public
715,It is a breaking news.,Public
716,Don`t disturb the honeycomb.,Public
717,The doctors cured him of fever.,Public
718,He has already formed an opinion about his boss.,Public
719,The chemical companies are poisoning our rivers and atmosphere.,Public
720,I read only the last chapter of the book.,Public
721,He is currently Vice-Chancellor of the University of Delhi,Public
722,He wheeled his motorcycle into the garage.,Public
723,This is a tricky proposition.,Public
724,Fortunately there were no injuries and damage to the factory was minimal.,Public
725,Count the books on the shelf.,Public
726,He went out during a pause in the conversation.,Public
727,He chaired the meeting yesterday.,Public
728,It`s pouring outside.,Public
729,She is whacky by nature.,Public
730,The death of the teacher chilled the students.,Public
731,Have you sharpened your pencil?,Public
732,The building was blasted.,Public
733,They were commanded to give a war cry.,Public
734,The crowd is eagerly waiting to view the match.,Public
735,She purchased a wonderful dress for her wedding day.,Public
736,I want to buy a new microscope.,Public
737,I aimed the gun carefully at the target.,Public
738,Don`t pull the plug out.,Public
739,It is advisable to ascertain the correct measure of everything which we purchased.,Public
740,The punishment should be proportional to the crime.,Public
741,Eleven students are absent today.,Public
742,I must go there today.,Public
743,She broke the mirror into pieces.,Public
744,The car clashed with a tree.,Public
745,It is a virgin olive oil,Public
746,She's too protective towards her.,Public
747,He got part-time job in a college.,Public
748,How can you be so vindictive ?,Public
749,You're in a good mood this morning!,Public
750,We have to adopt nearly all the rules.,Public
